name,notes
MMP 36TH DIV,
MMP 37 DIV,
MMP 37TH DIV,
MMP 38TH DIV,
MMP 3RD DIV,
MMP 3RD TC SQN 2 ARMY,
MMP 4 TC SQN 3 ARMY,
MMP 4TC SQN 3 ARMY,
MMP 4TH DIV,
MMP 4TH TC SQN 3 ARMY,
MMP 50TH DIV,
MMP 58TH DIV,
MMP 61ST DIV,
MMP 62ND DIV,
MMP 8TH DIV,
MMP 9 CORPS,
MMP 9 DIVISION,
MMP ATT 215 SIEGE BTY,
MMP BASE,
MMP EEF,
MMP HQ STAFF,
MMP II CORPS,
MMP IV CORPS,
MMP NO1 TROOP,
MMP POW,
MPF,
MPSC,
MPSC 3 MILITARY PRISON,
MPSC CAIRO,
MPSC POW CAMP FOUEN,
NK,
NO2 COY MFP,
PALESTINE COMMAND PRO COY,
PROVOST BRANCH TRIPOLITANIA AREA,
R BEACH PRO COY,
SIB,
SIB/CMP,
SINGAPORE FORTRESS,
SOUTHERN AREA PRO COY,
TC  COY,
WESTERN DESERT FORCE,
UNKNOWN,
5 L of C Pro Coy,
Not Known,
151 Inf Bde Pro unit,
3 Corps Land Forces Greece,
HQ 8 Army Pro Branch,
63 Section SIB,
11 L of C Provost Unit EACMP,
64 L of C Pro Unit CMP(I),
65 L of C Pro Unit CMP(I),
DPM HQ Western Command,
88 Section SIB,
62 Section SIB,
230 Pro Coy,
11 (East African) Div Pro Coy,
67 Section SIB,
PM Army War Office,
Brest Sub-Area,
21 TC Coy,
61 Section SIB,
51 Section SIB,
80 Div Pro Coy,
605 VP Coy,
HQ L of C 21 Army Group,
DPM HQ BTNI,
6 Bn Highland Light Infantry,
APM 1Corps District,
DPM 2 District CMF,
602 VP Coy,
HQ 21 Army Group,
1 Corps,
21 Sect FSP,
4 TC Coy,
DPM 8 Army,
CMP Depot Egypt,
Mobile Provost Control CMP MEF,
PM HQ AAI,
PM AFHQ,
APM 2Corps,
PM War Office,
Inspector of Physical Training,
DPM HQ 1Canadian Army,
DPM 2Army,
APM 13 Corps,
AAG & DPM War Office,
DPM 1 Corps,
DPM SIB Cairo,
DPM 21 Army Group,
APM 2 Army,
DPM 3 District CMF,
DPM L of C BNAF,
BEF,
APM Palestine & Trans-Jordan.,
DAPM 46 Division,
DPM Rome Area,
PM 21 Army Group,
West Yorkshire Regiment,
2nd London Irish Rifles 78 Div,
DAPM HQ 8 Army,
APM TC HQ 2 Army,
North West Europe,
Brussels Garrison,
APM Berlin,
APM 11 L of C Brussels,
APM 3 Division,
APM 7 Base Sub Area Antwerp,
77 Section SIB,
Malaya,
66 Section SIB,
4 Canadian Pro Coy,
APM 12 Corps,
SIB Algiers,
CMP Rennes,
73 SIS SIB,
DAPM 94 Sub Area,
APM 4 Division,
APM 3 Canadian Div,
APM SIB HQ 21 Army,
" CMP D & TE OTTAVIANO, ITALY. ",
APM 9 Corps,
HQ SIB AAI,
OC No1 Military Prison & Detention Centre,
8 Army,
DAPM 2 Canadian Base Reinforcement Group Ghent,
D & T E Ottaviano Italy,
506 Pro Coy,
23 Field Punishment Centre Ikingi.,
Middle East,
76 SIS SIB,
United Kingdom,
Royal Marine Pro Coy,
S Beach Pro Coy,
43 (Wessex) Division,
31 Section FSP,
3 Field Security Section FSP 1 Division Pro Coy,
4/7 Dragoon Guards,
FSP Hopkinson Mission,
Special Services Middle East.,
21 Beach Group,
Bedfordshire Regiment,From Petworth.
Changi Prison,
singapore,
1 AIRBORNE DIV PRO COY,
15 (SCOTTISH) DIV PRO COY,
9 and 12 Div Pro Coy's,
9 and 11 (Indian) Div Pro Coy's,
14 (INDIAN) DIV PRO UNIT,
19 (INDIAN) DIV PRO COY,
Hong Kong,
London District Pro Coy,
SINGAPORE FORTRESS PRO COY,
SINGAPORE SLING FORTRESS,
singapore sing ssing,
200 Provost Company,
FMA Det/SIB/RMP Korea,
42 (Lancs) Inf Div Pro Coy (TA),
144 Pro Coy WRAC,
D & T E RMP,
160 Pro Coy (H.C),
"SIB/RMP Detachment, Malaya",
51 (Highland) Div Pro Coy TA,
SIB FAR.E.L.F.,
40 Inf Div Pro Coy,
E.R.E. List,
SIB Cairo,
APM Traffic HQ 8 Army,
APM Traffic HQ L of C,
1 Commonwealth Division,
510 Pro Coy,
"""F"" Mobile Pro Coy, PAIFORCE",
611 (VP) Coy,
Local Force (Greece),
PM & Inspector of Military Establishments,
HQ SIB London,
HQ British Commonwealth Forces Korea,
Singapore Guard Regiment RMP.,
91 Section SIB,
21 (Guard) Unit RMP,
224 GHQ Pro Coy,
GHQ Escort Section Cyprus,
5 SIS SIB,
173 Pro Coy,
194 Pro Coy,
SIB Korea/Japan,
2/4 Pro Section CWAMP,
7 Sect SIB,
56 (London) Armd Div Pro Coy (TA),
210 Pro Coy,
81 SIS SIB,
HQ 86 (Army) Area,
APM 52 Area Taranto,
British Commonwealth Investigation Unit,
APM HQ 30Corps,
"APM 16 Area, Egypt",
APM 15 Army Group,
DPM AFHQ Italy,
APM HQ L of C,
APM HQ 61 Area,
RMP (TA),
2/4 King's Own Yorkshire Light Infantry,
DAPM 17 Gurkha Division,
DAPM 1 Corps District,
HQ East African Force,
'O' Pro Coy,
9 (Army) Pro Coy,
2 C Det Dog Section,
61 TC Coy,
62 TC Coy,
RAVC Attached No1 Dog Coy ,
42 (East Lancs) Division FSP,
103 Provost Company,
NUNHEAD (ALL SAINTS) CEMETERY,
36 (Ulster) Division,
3 (Lahore) Division,
CMP (India),
25 INDIAN DIVISION PRO COY,
TRAFFIC CONTROL GROUP,
10th ROYAL HUSSARS,
56 (London) Armoured Div Pro Coy TA,
17 (Gurkha) Div Pro Coy,
Federation of Malaya Pro Coy,
British Commonwealth Base Pro Coy,
51 Brigade Pro Unit,
252 Pro Coy TA,
44 (Home Counties) Div Pro Coy,
APM Cyprus District,
Cyprus District Pro Coy,
175 Pro Coy,
11 Infantry Brigade Pro Unit,
21 Guard Unit Singapore RMP.,
Depot & Trg Est RMP,
Efficiency Decoration TAVR,
1 Regiment RMP,
2 Regiment RMP,
Hong Kong Pro Coy,
177 Pro Coy,
178 (INVESTIGATIONS) PRO COY,
652 Squadron Army Air Corps,
TANK CORPS,
British Army of the Rhine,
227 GHQ Pro Coy,
5 Gordon Highlanders,
163 (V) Pro Coy,
253 (V) Pro Coy,
164 (V) PRO COY,
174 PRO COY,
ACIO WESTON-SUPER-MARE,
RMP TRAINING CENTRE,
HQ NORTHERN IRELAND,
243 (V) PRO COY,
SHAPE PRO COY,
152 PRO COY,
169 PRO COY,
192 PRO COY,
1 DOG COY,
3 PORTS PRO COY AER,
"618 SMPS, NAIROBI",
107 (ULSTER) IND INF BDE GROUP,
193 (PORTS) PRO COY,
7 ARMD BDE GP PRO UNIT,
51 (GURKHA) INF BDE GP PRO COY,
HQ P & SS ARMY ELEMENT ADEN,
54 DIV/DIST PRO COY TA,
1 (BR) CORPS PRO COY,
17 DIV/MALAYA DISTRICT PRO COY,
1 PARA PRO SECT T & AVR,
48 (GURKHA) INF BDE PRO UNIT,
"1 ARMD DIV, VERDEN",
DRUG INTELLIGENCE TEAM BAOR,
SIB Hong Kong,
APM 54 DIVISION,
2 DISTRICT SIB ITALY,
DAPM CYPRUS DISTRICT,
DAPM NORTHERN IRELAND,
PROVOST MARSHAL UK,
DAPM DIEPPE,
VI CYCLIST BATTALION ARMY CYCLIST CORPS,
CMP BORDON CAMP,
WEAPON INTELLIGENCE COY,
REGIONAL COMMAND (SOUTH),
94 9BEACH MAINTENANCE) PRO UNIT,
94 BEACH MAINTENANCE) PRO UNIT,
33 INDIAN CORPS PRO UNIT,
19 (EAST AFRICAN) PRO SECTION,
17 INDIAN DIV PRO UNIT.,
10 INDIAN DIV PRO UNIT,
82 INDIAN L OF C PRO UNIT,
3 INDIAN CORPS PRO UNIT,
1 & 6 (EA) L OF C PRO SECTIONS,
617 SMPS Egypt,
FEDERATION OF MALAYA POLICE FORCE,
48 (SOUTH MIDLAND) DIVISION,
HQ XIV CORPS,
GHQ DETECTIVES,
2 TRAFFIC CONTROL COY MFP,
HQ 34 DIVISION,
1 ARMY,
66 DIVISION,
14 CORPS,
4 TRAFFIC CONTROL SQUADRON,
25 DIVISION,
3 TRAFFIC CONTROL COMPANY,
42 DIVISION,
TOWN COMMANDANT ARRAS,
3 MOBILE POLICE UNIT,
3 TRAFFIC CONTROL SQUADRON,
14 DIVISION,
XIII CORPS,
60 DIVISION,
4 DIVISION,
MPSC POW CAMP ROUEN,
SOUTH AFRICAN FIELD FORCE,
3 DIVISION MMP,
HQ 32 DIVISION,
EAST AFRICAN EXP FORCE,
63 (ROYAL NAVAL) DIVISION,
APM XXI CORPS,
APM BOULOGNE,
"PM 2 ARMY, YPRES.",
HQ XIII CORPS,
19 DIVISION,
63 ROYAL NAVAL DIVISION,
24 DIVISION,
6 DIVISION,
BRITISH SALONIKA FORCE,
2 CORPS,
XII CORPS,
X CORPS,
XI CORPS,
MFP 4 ARMY,
1 DIVISION,
MFP SCOTTISH COMMAND,
MFP 5 ARMY,
MILITARY PRISON SHEPTON MALLET,
"MPSC DETENTION BARRACKS, STAFFORD",
MPSC NO 4 MILITARY PRISON,
MMP 33 DIVISION,
MMP 3RD CORPS,
"GENERAL SERVICE MEDAL 1918 CLASP ""IRAQ"".",
MMP XVII CORPS.,
3RD WELSH REGIMENT,
HQ NATAL FIELD FORCE,
26 INDIAN DIVISION PROVOST UNIT,
94 INDIAN BEACH MAINTENANCE PRO UNIT,
201 SECTION SIB,
20 INDIAN DIV PRO UNIT,
5 INDIAN DIV PRO UNIT.,
20 INDIAN DIV PRO UNIT.,
23 INDIAN DIV PRO UNIT,
25 INDIAN DIVISION PRO UNIT,
17 INDIAN DIV PRO UNIT..,
103 PRO COY,
15 INDIAN DIV PRO UNIT,
15 INDIAN CORPS PRO UNIT,
III Corps,
HQ 1 DIVISION,
MMP 11 DIVISION,
"7  CAVALRY BRIGADE, 3 CAVALRY DIVISION",
NO2 DOG COMPANY RMP,
2 DOG COMPANY RMP,
7 Bn PARACHUTE REGIMENT,
HQ SIB,
"15 AREA PRO COY, HAIFA",
2 DOG SECTION,
605 SQUADRON MMP,
HQ PALESTINE BASE,
4 SECTION SIB,
HQ EAST PALESTINE SUB DISTRICT,
208 PRO COY,
604 (MOUNTED) PRO SQUADRON,
209 PRO COY,
RMP BASE DEPOT,
MMP 46 DIVISION,
MMP 55 DIVISION,
MMP 24 DIVISION,
V ARMY,
MMP XXI CORPS,
NORTH PALESTINE DISTRICT,
South Palestine District Pro Coy,
SIB Palestine and Transjordan,
16 Ind Para Bde Pro Unit,
2 Section SIB,
SIB 21 Area.,
ATS Provost Wing Palestine,
HQ PALESTINE & TRANSJORDAN,
GHQ BEF,
51 MILITARY PRISON & DETENTION BKS,
4 DOG SECTION,
IX CORPS,
V CORPS,
18 DIVISION,
3 ARMY,
55 DIVISION,
37 DIVISION,
5 CAVALRY DIVISION,
62 DIVISION,
49 DIVISION,
XVIII CORPS,
32 DIVISION,
20 DIVISION,
4 CAVALRY DIVISION,
39 DIVISION,
2 CAVALRY DIVISION,
7 FIELD COMPANY RE,
1 CAVALRY DIVISION,
XIV CORPS,
Queen's Sudan Medal 1896-1897,
GHQ ITALY,
11 SOUTH LANCASHIRE REGIMENT,
26 Section SIB,
52 MILITARY PRISON & DETENTION BARRACKS,
APM 50 DIVISION,
APM 4 ARMY,
APM 33 DIVISION,
APM 39 DIVISION,
DPM MALAYA COMMAND,
No. 6 B D,
1 PROVOST COMPANY,
BATAVIA,
11 (INDIAN) DIV PRO UNIT,
9 (INDIAN) DIV PRO UNIT,
2 LOYAL REGIMENT,
2 PRO COY NORTHERN COMMAND,
MMP 1 DIVISION,
91 L OF C (BM) PRO UNIT,
MFP IX CORPS,
THIEPVAL MEMORIAL,
SOISSON MEMORIAL,
20 IND PRO SECTION,
"""E"" GROUP TRAFFIC CONTROL",
CROYDON (QUEEN'S ROAD) CEMETERY,
92 COMPANY TRAFFIC CONTROL,
"""Q"" GROUP TRAFFIC CONTROL",
25 COMPANY TRAFFIC CONTROL,
66 COMPANY TRAFFIC CONTROL,
78 COMPANY TRAFFIC CONTROL,
64 COY TRAFFIC CONTROL,
NORTH STAFFORDSHIRE REGT,
79 ARMD DIV PRO COY,
211 PRO COY,
CHELSEA HOSPITAL,
MMP 19 DIVISION,
"615 SMPS, EGYPT",
"E U ENQUIRY TEAM, NORTHERN IRELAND",
1 COMMONWEALTH DIVISION PRO COY,
262 PRO COY,
6 REGT. RMP,
72 SIS SIB,
20 ARMD BDE PRO UNIT,
46 TC COY,
177 PORTS COY,
4 DISMOUNTED TRAFFIC CONTROL UNIT,
114 TC COY,
176 PORTS COY,
HQ CMP PORTS,
335 COMPANY VP CMP,
336 COY VP. CMP.,
332 COMPANY VP,
415 COMPANY VP CMP,
BAU & ARBEITS BATTALION 20,
234 MP Company USMP,
HQ SHAEF,
"MP Platoon, 17 Airborne Division US army",
VICTORIA CROSS,
4 (East African) Pro Coy,
12 (AFRICAN) DIV PRO COY,
29 INF BDE PRO SECT,
41 DIVISION,
CMP Hong Kong Garrison,
Hong Kong Command,
Indian General Service Medal 1936,
"71 SIS, SIB",
504 IND MOBILE PRO COY,
Aldershot,
East African Corps of Military Police,
EAST AFRICAN MILITARY POLICE CORPS,
"WEST AFRICAN CORPS OF MILITARY POLICE, RWAFF",
CEYLON CORPS OF MILITARY POLICE,
116 Pro Coy RMP (V),
706 PRO COY,
101 Company TC,
2/4 QUEEN'S (ROYAL WEST SURREY REGIMENT),
"Tasao, Thailand",
2 INDIAN AIRBORNE DIV PRO COY,
75 L of C Pro Unit,
CHATHAM DETACHMENT,
4 Middlesex Regiment,
Germany,
"4 Traffic Control Company, MFP.",
58 DIVISION,
2 Traffic Control Squadron MMP,
33 DIVISION,
40 DIVISION,
-,
Intelligence Corps,
5 Royal Tank Regiment,
34 (EA) MP & DB,
68  MEDIUM REGT RA,
ROYAL WARWICKSHIRE REGIMENT,
MMP1,
MMP2,
MMP3,
MMP4,
MMP5,
MMP6,
MMP7,
MMP8,
MMP9,
MMP11,
MMP12,
MMP13,
4 INDIAN DIV PRO COY1,
4 INDIAN DIV PRO COY2,
