id,Name,NearestCity,Notes,WartimeCountry,PresentCountry_id,Latitude,Longitude
99,"70 Monturano, Nr Rome",Rome,,,380,,
100,54 Fata-in-Sabina,Rome,Near to Rome,,380,,
101,55 Buseto Pier near Palma,Palma,,,380,,
102,66 Capua,Capua,,,380,,
103,82 Laterina (Nr Arezzo).,Arezzo,,,380,,
104,"70 Monturano, near Fermo",Fermo,,,380,,
105,Tasao,Tasao,,,764,,
106,Fukuoka Camp No. 1,Fukuoka,,,392,,
107,Kinsyoke Camp,Kinsyoke,,,834,,
108,Hong Kong,Hong Kong,,Hong Kong,276,,
109,Gustrow,Rostock,,Germany,276,,
110,Germany,not known,,,276,,
111,Turkey,not known,,,792,,
112,unknown1-germany,-,,,276,,
113,Dulmen,Munster,,,276,,
114,59 Servigliano Nr Piceno,Piceno,,Italy,276,,
115,Tokyo,Tokyo,,,392,,
